,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
47329|FOXA1,1.7872025018849791682693967746932702556804632240586660239032638171197536660884813037275252714816201860072939186869744335995682148581652068317837534794668628490859555417024565442585347478595941290164761e-75,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
73696|LEO1,1.9607384845581856349621040052864132817978409361273717023223117352840121721191237993428083143488197644320458042001075139455147368473629447680630589552588041004815414420205875781714504970754950611245426e-71,Homo sapiens,LEO1,predicted chromatin regulator,SEM,B Lymphocyte,None,1,LEO1
9230|CBX3,1.1080867775351894481300219493098071509930292626652131901329727374122628051511334856183709248026991630207165300497179658975213877643857234437330944488777479983574524279910971416698961797761809497324711e-69,Homo sapiens,CBX3,cr,HCT-116,None,Colon,1,CBX3
57641|HDAC1,0.000000000000000000000000000000000000000000000000000000000000000072155656089885736417735297310588265851595345151311006661757942117346407605634814206527325783668047941379175234838527269899064253746168976826004855884178927580307042780322375827752196362136992118235844,Homo sapiens,HDAC1,cr,Nalm6,B cell precursor,Blood,1,HDAC1
74643|NFATC3,0.00000000000000000000000000000000000000000000000000000000000000045543079610820479471721733015897718149284587079699421979439741134612883762713295945687232908529371344195441413179262290819430654073507677216796639607560096172504141741064126130973836287728701438872608,Homo sapiens,NFATC3,tf,HepG2,Epithelium,Liver,1,NFATC3
50122|LMNB1,0.0000000000000000000000000000000000000000000000000000000000000042485256727111811364143793512991214368662074724478172408057448095678325922762645505397697637212201906651045872101359479831638326852099828589937828841764535616291720351608736019811755622403097940472752,Homo sapiens,LMNB1,not sure,IMR90,Fibroblast,Lung,1,LMNB1
41573|ING5,0.00000000000000000000000000000000000000000000000000000000000021968470622219165012736393092558145267367606438999499956504233325391674042199254516819347216386719460117161134968980972219049542330504920482339604707091560123550142462249281291093970299107644742943254,Homo sapiens,ING5,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING5
73714|AFF1,0.000000000000000000000000000000000000000000000000000000000021658479339731158770570117703871619763730276645344749337808277868103030432412116966872086511515715111327963509112380641671847443937975970331057206387759089963248967512783711228905252686123007024436027,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
51750|FOXP1,0.0000000000000000000000000000000000000000000000000000000016460294741457768306836837662173108673420760742812641371750880309369222923963167907639626705954173424233479429732333709437560303697841967606731693898225310915829198717611624721515786333528984121685343,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
63975|GATA4,0.0000000000000000000000000000000000000000000000000000000033134842349633803931675230381384836650596000204726307720747123106873602811608214652274806493545810817889132991546875392467905354563655761902160550049672204474772706051289986881614303232232230393173068,Homo sapiens,GATA4,tf,HepG2,Epithelium,Liver,1,GATA4
41411|ERCC3,0.0000000000000000000000000000000000000000000000000000041731120560497276101400910786098368296675171468598951179625496877961888299112783118558697132582919173100507982673859320908522895851466606634071719847727580864111090130643046128976980404794784084850429,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
71748|SOX4,0.000000000000000000000000000000000000000000000000000012768548354243209976848614354028151292758570359311815952720491540322479467966658084879170886196148345568831395377496224055959378212263394344076465950565102276697180547482643223296124261663992431207675,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1,SOX4
52428|MYC,0.000000000000000000000000000000000000000000000000000043228435597566952981309702544186262555192150466740248861581944148751958439162701368138280796920014897883318690130506627086147408718227418193561768940890347406616127113056596096718890080353187869253128,Homo sapiens,MYC,tf,HEK293,Epithelium,Embryonic Kidney,1,MYC
71137|BRD4,0.0000000000000000000000000000000000000000000000000028937499790470769515980883906638037540030901294005040341131720980510316751391850300882213504994816643208975805352222545098781312448737062267700299966738589697992345703778509365188085083070915846573664,Homo sapiens,BRD4,cr,MCF-10A,Epithelium,None,1,BRD4
37625|MYH11,0.0000000000000000000000000000000000000000000000000077486491822472147577501565390332424577813338728249876138882010383433215370828281793564505337547556212103630216198250053185527565606072489351642887384319778230770717241975298219791459012223524363858336,Homo sapiens,MYH11,not sure,U937,None,Pleura,1,MYH11
34962|KMT2A,0.0000000000000000000000000000000000000000000000014816229350259670147326611583810160957128358979419568144678869109269622249679524556873426352553802751980124265198253193770352109302212355851193595763566837526716069737225553874645913477210495158982523,Homo sapiens,KMT2A,not sure,RS4,B Lymphocyte,None,1,KMT2A
52682|FOXA2,0.0000000000000000000000000000000000000000000000019910859408776731758028669030159883022824453391020293800739675532049025767421773861941700342673608114293689048824031071542391938401515292043230031453786549409288713616919026693488661990457575088120569,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
34390|SMARCA4,0.00000000000000000000000000000000000000000000000274463210852876710279935546924492117190962946815621807518026050996141962420294811954021757419114609983539071478890923062382183003017386819053922399339752937246260352162849575121795285822958083211772,Homo sapiens,SMARCA4,cr,None,None,None,1,SMARCA4
53323|INTS3,0.0000000000000000000000000000000000000000000000096107992395667374710970069711787229396987925729977893945541959210004865920124088698363961031149842909392718101225153785726699182038296416942418768219748279783717164416120761318038875000049308776393337,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
38496|RBL1,0.000000000000000000000000000000000000000000000011084935064513888113396854004798609921669495981280657135089298996470801272797717116672746921322397154012034392752980242006837611530798294639182802582271129189165045743623941547665620769160939919938628,Homo sapiens,RBL1,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL1
43305|CDK6,0.000000000000000000000000000000000000000000000026090285999126167412691934594666883006001193913708521337046312054134807905301233582610880943762120190618751315791810852909878097503282920559527567969297790278995593690628171490329534222251016440159785,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
52153|FAIRE,0.000000000000000000000000000000000000000000000039818844218879497545668869988688792494789932772894500567210076609909389599034338090562023458472550927828756232670604178622964700317439560650791563653451606698400516623403872382800351500655440112868907,Homo sapiens,FAIRE,other,None,Macrophage,None,1,FAIRE
41572|ING2,0.000000000000000000000000000000000000000000000044396029030237452710864970935397617545024514823539355421005613257025275058539785350113490540691829246879130885294414188524115808586014818988394459082979915061436992847040341425373081164687586138026561,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
